R	S_avg	S_std	S_avg_smooth	S_sum
6.314260000000000446e+02	9.600000000000000000e+01	4.392417709341101784e+01	9.705188536953293976e+01	5.760000000000000000e+02
6.343730000000000473e+02	9.800000000000000000e+01	4.653314231097373010e+01	9.714720965309253131e+01	5.880000000000000000e+02
6.373200000000000500e+02	9.866666666666667140e+01	4.432706722634477359e+01	9.651523378582254509e+01	5.920000000000000000e+02
6.402659999999999627e+02	9.433333333333332860e+01	4.361065109453066668e+01	9.615927601810007275e+01	5.660000000000000000e+02
6.432110000000000127e+02	9.100000000000000000e+01	4.330896750866576639e+01	9.655686274509857014e+01	5.460000000000000000e+02
6.461549999999999727e+02	1.036666666666666714e+02	4.656775231375845436e+01	9.753453996983461138e+01	6.220000000000000000e+02
6.490979999999999563e+02	9.766666666666667140e+01	3.835651472986332067e+01	9.875535444947263386e+01	5.860000000000000000e+02
6.520399999999999636e+02	1.026666666666666714e+02	4.523518787649965844e+01	1.001502262443444380e+02	6.160000000000000000e+02
6.549809999999999945e+02	9.400000000000000000e+01	3.734523619776244630e+01	1.010199095022629763e+02	5.640000000000000000e+02
6.579210000000000491e+02	1.026666666666666714e+02	3.959236739013665130e+01	1.030564102564108140e+02	6.160000000000000000e+02
6.608609999999999900e+02	1.076666666666666714e+02	4.498024257629366929e+01	1.042636500754153417e+02	6.460000000000000000e+02
6.637989999999999782e+02	1.076666666666666714e+02	4.421789481897823748e+01	1.049276018099553198e+02	6.460000000000000000e+02
6.667359999999999900e+02	1.036666666666666714e+02	4.432330713694044277e+01	1.042196078431378083e+02	6.220000000000000000e+02
6.696710000000000491e+02	1.056666666666666714e+02	4.280835847770334368e+01	1.045450980392162563e+02	6.340000000000000000e+02
6.726059999999999945e+02	1.030000000000000000e+02	4.315476026272574472e+01	1.035273001508301292e+02	6.180000000000000000e+02
6.755399999999999636e+02	1.073333333333333286e+02	4.309163362984616441e+01	1.027873303167426400e+02	6.440000000000000000e+02
6.784719999999999800e+02	9.566666666666667140e+01	3.980647630167176487e+01	1.012051282051287586e+02	5.740000000000000000e+02
6.814039999999999964e+02	1.006666666666666714e+02	4.662855586678856668e+01	1.003849170437410976e+02	6.040000000000000000e+02
6.843339999999999463e+02	9.700000000000000000e+01	4.399621195815233676e+01	9.938883861236855921e+01	5.820000000000000000e+02
6.872649999999999864e+02	9.900000000000000000e+01	4.900000000000000000e+01	9.907239819004577441e+01	5.940000000000000000e+02
6.901920000000000073e+02	9.600000000000000000e+01	4.410593308539490920e+01	9.812036199095075517e+01	5.760000000000000000e+02
6.931190000000000282e+02	1.003333333333333286e+02	4.053667749362572437e+01	9.797013574660684299e+01	6.020000000000000000e+02
6.960470000000000255e+02	1.013333333333333286e+02	4.777260953959100931e+01	9.680995475113172688e+01	6.080000000000000000e+02
6.989719999999999800e+02	9.733333333333332860e+01	4.968791491790422299e+01	9.695897435897485650e+01	5.840000000000000000e+02
7.018959999999999582e+02	9.200000000000000000e+01	4.877157642179168562e+01	9.551825037707442334e+01	5.520000000000000000e+02
7.048189999999999600e+02	9.733333333333332860e+01	4.647101844758252298e+01	9.498733031674257177e+01	5.840000000000000000e+02
7.077430000000000518e+02	9.200000000000000000e+01	4.532843110749220017e+01	9.387752639517395892e+01	5.520000000000000000e+02
7.106639999999999873e+02	9.433333333333332860e+01	4.456331326201956244e+01	9.336621417797938705e+01	5.660000000000000000e+02
7.135839999999999463e+02	8.766666666666667140e+01	4.373277438667201267e+01	9.240995475113172120e+01	5.260000000000000000e+02
7.165030000000000427e+02	9.533333333333332860e+01	4.080304999493161233e+01	9.176229260935193111e+01	5.720000000000000000e+02
7.194210000000000491e+02	8.966666666666667140e+01	4.241723968178766313e+01	9.186907993966866570e+01	5.380000000000000000e+02
7.223390000000000555e+02	9.466666666666667140e+01	5.239168721170266707e+01	9.173453996983458580e+01	5.680000000000000000e+02
7.252549999999999955e+02	9.066666666666667140e+01	3.795904225463135617e+01	9.111040723981949441e+01	5.440000000000000000e+02
7.281689999999999827e+02	9.300000000000000000e+01	4.303099657998483707e+01	9.066214177978932298e+01	5.580000000000000000e+02
7.310829999999999700e+02	8.900000000000000000e+01	4.547160286010013408e+01	9.041870286576217097e+01	5.340000000000000000e+02
7.339969999999999573e+02	8.933333333333332860e+01	4.378228967161138740e+01	9.069924585218751645e+01	5.360000000000000000e+02
7.369089999999999918e+02	9.166666666666667140e+01	4.439844842133813074e+01	9.040935143288133702e+01	5.500000000000000000e+02
7.398189999999999600e+02	8.866666666666667140e+01	4.181971890016584581e+01	9.095354449472145575e+01	5.320000000000000000e+02
7.427300000000000182e+02	8.966666666666667140e+01	4.310323524851573040e+01	9.090588235294165997e+01	5.380000000000000000e+02
7.456390000000000100e+02	8.966666666666667140e+01	4.130240778561086046e+01	9.112699849170486743e+01	5.380000000000000000e+02
7.485460000000000491e+02	9.633333333333332860e+01	4.603501083112962533e+01	9.162745098039265201e+01	5.780000000000000000e+02
7.514539999999999509e+02	9.333333333333332860e+01	4.901247006856747390e+01	9.254871794871843349e+01	5.600000000000000000e+02
7.543590000000000373e+02	9.266666666666667140e+01	4.449219656923622068e+01	9.265399698340922896e+01	5.560000000000000000e+02
7.572630000000000337e+02	9.166666666666667140e+01	4.334999679610393741e+01	9.264343891402764086e+01	5.500000000000000000e+02
7.601680000000000064e+02	9.100000000000000000e+01	4.467288513927287141e+01	9.268476621417846673e+01	5.460000000000000000e+02
7.630700000000000500e+02	9.166666666666667140e+01	4.659637563397203053e+01	9.233333333333381177e+01	5.500000000000000000e+02
7.659719999999999800e+02	9.600000000000000000e+01	5.018631951704235661e+01	9.205037707390698642e+01	5.760000000000000000e+02
